target,ids,user,text
0,2175499666,kagisomsimango,Tomorrow is a holiday. Smart people took today off to have a long weekend. I wasn't  one of them 
1,1933073398,clark_mitchell,@alydenisof  I hear ya there. Quite the blow to the stomach today. But I am happy to see that people aren't giving up. That gives hope. 
0,2056403540,brokeassstuart,@liseememe 
0,1956676300,loveCWard,@gabbbycakes DITTO only i have 28  and apparently there is an essay too. cool.
0,2066283494,maceydoo64,"she gaves us all a workout and now we are not only physically drained but emotionally too, I cried when she came back in the house "
0,1880908014,AlexaGrace16,@birdb  went to bed early missed u on msn   talk to ya today instead
0,1755079637,AndrewBrittain,At parents church sitting behind a lady with a tamberine who doesn't know tempo!  http://twitpic.com/4x5i1
0,2056474633,cijibhnee,Not exactly on my &quot;A&quot; game today!! 
1,1678388844,chasssss,I woke up smiling bc lastnight I went to BED laughing  Thanks yall!
0,1678364274,PlugInMainey,@whisperygenie I know  I'm on disc 4 of the X Files already...it's not as bad as I initially thought it would be.
0,1966997153,jalford5,@MzKikiJ Aww...now i'm sad!!! We didn't go b/c the weather channel said it was gonna rain the entire weekend. 
1,1695509863,daffyddturner,@sorcha69 Thank you. Very kind of you to say that! 
1,1980322000,chris0102,"redone pc, got everything back and itunes works "
1,2001141675,noyolaface,I LOVE THE MOVIE TAKEN ITS SO KICK ASPIRIN LITERALLY.  XD =] 
1,2063269618,Pattyf29,Watched state of play..pretty good 
0,2282986874,einfach_mich,"@ememmyem Bwahahaha! Um, I think you have a great point. Though, technically SMeyer is the creator of canon, so it qualifes. Sorry. "
1,2057549304,lorizouiten,@TimMihalsky I don't know... I guess it all depends on what you would consider trash and if it's hot... then you can get away with it!  
1,1974412462,TheNotoriousJEN,"@AMYTHEARD aww, you guys look hawt! "
1,1968695502,prajwalit,Angels and Demons... Watchmen.. A R Rahman concert.. seems like 'Awesome Weekend Ahead'.. #37signals 
1,1881724202,benolicious,@Gtorinno yoi yoi uncle gave  http://myloc.me/1nJK
1,2185580757,DanellD,listening to this song right now... i adore it!  â« http://blip.fm/~8afub
0,1963791460,Rocmoney,"@joemuggs urgh...Grime, me no likey "
0,2191730069,beautyblogger09,"I really should be doing classwork/homework, but I just don't feel like it today! So I don't think I will! "
0,2201176480,kittenr,@imalexevans They sell nutella in Canada!? That's amazing. I can't seem to find it in the states... 
0,2174808650,lakennn,I'm completely broken. 
0,2325702883,L4UR3N141,Tbqh... I dunno How Te Work Diz 
0,1794458534,Pachydermous,No backup strippers.  I expect to have this favor returned X2 next Wendsday since I'll have 2 APs. Colton+Lloyd double performance?
1,1677477011,Lisax1992x,"Going to see the HM movie AGAIN today  and then probibly again tomorrow, ha i spend my holidays off school so productively "
1,1753694445,StarBreatherLuv,"Good night all... Just set this twitter thing up. I'm very new at this, but I expect it to come in handy. "
0,2328159674,the759show,@iRala PLS Do a Brandy song! Boom! Come on I need some inspiration..in a funk!!! 
0,2225969872,_Sara_Byrne,Rain is Shit 
1,1999512818,carleen4689,Brian just made me an awesome krabby patty 
1,1752192699,smalltown_girl,@cookie_crumbles all the best for art attack. thanks 4d follow 
1,1973878692,bim1214,@bim1214 This is my 2nd time doing it so I am starting back from the beginning so day 91. 
0,1677742383,tootsierocks,me hazel and amanda r away to shop/ go to the cinema then stayin at hazels tonight so no twitter till tomorrow 
1,1834011320,sarahlay,@liz_azyan Good luck with the flat hunting and the review! Hope both have positive outcomes 
0,2066917663,jesssicababesss,@meganjay100 yupp you miss demi if you win 
0,2184649767,emilyeloisa,I want some icecream. This sucks 
1,1977822365,adityarao310,@gauraav dei! I had todatlly forgotten about this man.! Good you uploaded. Good  times .... 
1,1984984736,bakasan,@scottgal I think one either loves Seth Macfarlane or think he's the devil.  I'm in the former camp. 
1,1468698934,vayerman,I'm looking for the follower no 180 for http://blog.chobots.com ! 
1,2018754464,PaulieSnowball,Just scrubbed the oven to a very shiny shine  and have locked my front door to avoid an unwanted visitor this evening!
1,1770619918,sweetali20,@JonathanRKnight @dannywood  I really don't think u guys care 2 much but my bday is 2morrow a bday wish from u would be nice 
1,2063296302,waffles93,I am sorry @kourtneyadams  and thank you for the the Congrats!! how were your cookies?
1,2066172502,EarthFire,@1sweetwhirl love your bio...&quot;be real or go home&quot; ...Lol...Most definitely!- Had to follow you 
1,2051226837,IamAmelieP,"Another great evening spent outside! The coolish air was more than compensated for by good company, and lots of strawberry margaritas! "
1,1990155051,YaniTseng,Good morning everyone  Have a great day !!!
1,1999319810,jsuplido,@rxtmr hey! thanks for making my tweet #1.  awesome!
0,2061952579,CRISSYJAY,@djscream umma need you to follow me homie! 
0,2205243383,ticktockTANGELO,@curnies That's duuuuumb. 
0,2231120472,Emily1384,Doesn't appreciate when people call her at 2am to call her calamity mez have a nose bleed nd hang up 
0,2069531029,camel7358990,@piksels @jeffsimons i know... 
0,2060803323,iheartnynuk,It's almost over 
1,1977939340,dbtp,Just a reminder   CBS News Sunday Morning features Dave Matthews Band: May 31st http://tinyurl.com/mblu4s  #dmb
1,1981563852,aelmazaidi,just missed tweeting 
0,2286948490,Astroknots,making lemon bars looks hard 
0,2228994135,Fruvous,"@mArZiPaNshadow : *hug* Poor grbl.... some days are diamonds, and others are a kick to the nads. "
0,1991478535,erintomhay,Is so not looking to thursday at all. 
0,2203370426,icequeen_11,"@jsusgrl me too, really.I kinda wanna cry sometimes when I see her so lonely, like she needs a friend, aww poor bb! she trusted in NR "
0,2298669318,ShaunaN,Hey @rmercader. Pls tell @2911Kyle more about kickball. When and where? (bc idk  )
0,2226456525,guadalupe_monse,bored and pissed... 
0,2048829381,danaalexandraa,@Billabonng don't say that 
1,1973295676,kcdogblog,"@ Suecosby -- so is the news public yet? I've been hearing about it everywhere except from you   Best of luck. Big job, but ur the best"
1,2189349780,Justinmazing,I'm going to punch the next goddamn person who calls me skinny in the face...then vlog about it. 
0,2001904300,blitzkilla,@ joel. Didnt see them 
1,1880637357,ilmEditor,Gershwin's Rhapsody In Blue and a nice cup of coffee to start the morning  Hoorah!
1,1675756984,saharlestrange,"@save_chuck Chuck to Sarah&quot;ah pretty, hey&quot; Chuck to Casey: &quot;AH, NOT PRETTY! UGLY!&quot; my fav quote "
0,1962450660,CMac715,have to return my sideways. fuck meds and bills. 
0,2266414456,ultrabrilliant,@disappointment In Second Life. They banned me from their sex beach. 
1,2185943799,jennsbookshelf,"@florinda_3rs  I understand  I get frustrated, too.  I did a mega ARC giveaway a while back to get rid of some unsolicited  ARCs!"
0,1965253625,heyy_kendall,"I don't have MTV,@mtschopp. What am I going to DO?!! fmlllll "
0,2061474283,steffzz,@ddlovato gd luck demi! i really wana go but i dont live in us 
0,1692560679,Zo_E,"@dolcegrazia been there, felt that.  *hugz* ilu"
0,1986959018,dipsdon,Got a flat tire  sittn on the side of the road waitn for AAA listening to howard stern lol
1,2053218923,JBCrazy,"OMiGOSH OMiGOSH ! Anyone Else See Big Brother ? Oh Btw,! I Have Official Ownage On Cairon ;) He's Gorgeous ;P Ohh And Kris  He's Lushh"
1,2064827107,authenticstyle,@FollowTy So true! Friends help us become our best possible self  Happy Sunday to you!
1,2068820230,feedthedinos,i love 3OH!3....  and this. im glad things are getting easier...
0,2228542597,royal311king,@TheAndroidSite ya I couldn't pay my bill on it 
1,1556626633,rahuljrark,@ryanpthompson @rmulle you are welcome 
0,2229475995,januweezy,@kaylacollins what the hell I'm always left out 
0,1881133560,Mangowe,"@nik_kee_dee Goth Belly dancing? Again, no idea that they had that sort of energy! Shame on radio "
1,1975344860,KevinCole509,@AuthenticStyle Sounds good! Have a great time with it! Gonna pour another hot coffee... 
1,1989711109,Carmita_Guerra,Gotta love Skype! Get to speak to and see my brother in Spain and my surrogate sister in Great Britain! 
0,1992862348,ashstahl_,Ahhhh I just hit a squirrel   
0,2185690818,digg_gv,wanting to go the court with my daughters but there not up for it... 
0,2226936826,ali_gator13,@Broadway009 with a cute guy... i wishhh. i don't have a man  find me someone cute! haha. how are you doing?
1,2032693734,Sleos15,Had graduation rehersal today..tomorrow should be good 
1,2176524987,imogen_kate,@CapnScarlett Aww  It was good  But now you can have a super-duper celebration Friday! How did your exam &amp; prac go?
1,2180930999,miamstem,@mijomuffins do you have the link to any other pictures from SK? and that isa GREAT shot of him 
1,1965219412,euthiago,ï¿½ ilson Wilson! boa noite pros q ficam!  fuiz Ruiz! (kkkkkkkkkk #nonsense) []'s
1,1972002616,tjdsn,@DaleWilliam I love the use of fml. 
1,2182223310,sshorex,entering bailey into a competition  x
1,1970814728,sofiafigueiredo,"@lunaerica hey little  what's up,sweet. XxX"
0,1984725016,ZoeGraystone,@Skybane81 It's more of a half life 
1,1974316708,11Skyler11,Going to the zoo @cbelsea and Alex!  EXCITED!!
1,1835437249,mcsleazy,"@lilytusk I have before picture. After to follow, when new floor put in. "
1,2187391432,TheRealAshleyyy,@TheRealKitCat No I Havn't sent it. mah phones in the kitchen and i don't feel like going to get it! ha  I WANT A OREO!!
1,1469982026,edgemy,"@snjehan Haha oh dear we unintentionally gave our competition a boost? As long as you keep tweeting to us, though! "
0,2062000492,Er_Garcia,I cant believe my skin is breaking out here  i shall hunt for a new toner and cleanser!!
1,1969765081,fridley,"@_mel_ You also didn't ask @ozdj about the sale of choc, which I am certain he would LOVE to detail... "
0,1969695816,anneAAM,@vintagepolka her cousin's son passed away in an accident.. 
0,1975732439,cescasanta,"Had the most awesome day: beach in the morning, walked on the boardwalk in the afternoon. Too bad we leave tomorrow "
0,1980633499,Reggiekc,"@bebfan thank u so much for the info!! I don't know if i can make it though, i have a thing i have to go to.  but i'll def try!"
0,2053220615,SurshBox,I don't know what to wear tonight!!! 
1,1982083209,arobinsonuk,@Katie_Cakes Katiepotatie can I borrow your Desktop Anywhere login to order a macbook pro with HE discount? 
1,1678490062,sssassi,going to watch tv  
0,2244085093,clairelouise2,@helen_bop lack of good sleep? I have the same problem 
1,1564367035,eclecticmoi,@realisation Fabulous Comb Natalia! love your photo's too 
0,1754674637,SharoNiley,Did you not mean to me? oh......... 
0,1981253012,Randomstranger1,And I haven't seen star trek yet 
0,2010592540,aniessss,"at school now! starring at him, wants to know him better! OMG, don't let me feel this way! "
1,1573274575,patcon0406,"@orangemoontom Hey, Thomas, I will be up with you over the next 2 days, working the night shift, lol "
1,2015541614,entrup,@msobie great! Thanks for asking.. Now let's get me added to the Linkined group to spruce things up a bit.. 
0,2055409839,lookafteryou,@purityring  i tried responding to you but you signed off too fast.. but i'm going to lay down and i love you/i'm sorry
1,1880344764,jbcitygirl,@BlkwithWhtStrpz Thx 4 da welcome msg - hope u have a fab day  
1,1880295213,KevinEdwardsJr,@KimishaB  if you like 2 laugh..have a good time..follow me..its just that simple 
1,1968821858,AmandaWoller,"@KyGrip Thanks Keegan, I will see what I can do "
1,1982181747,AgingBackwards,@BiggestLoserMat My ex-husband did Hawaii Ironman - make sure you stay hydrated!! He's a doctor &amp; even he &quot;messed&quot; up first time 
1,2060957439,BITT59,@traveleverywher @PeaceDiva @rssanborn @Loch121 @MATT_369 @WilliePA @Loch121 @hughdeburgh @comefilljulia Thank you!!! 
0,2063713805,nikkivjones,"eurgh, insomnia sucks "
0,1557466520,chhaya_hbk,"no IPL  , only MDM"
1,1685304760,music_flurry,? @imeem @katehavnevik has a fab new single out &quot;Show Me Love&quot; hear it now @ www.myspace.com/katehavnevik  http://tr.im/kkIS
1,1979458363,dadenisi,i'm so...oh! // back 
0,1957724787,PoppyGOESrawr,agh! freaking out about going to Wales already! &gt;&lt; not packed!! 
1,2014692861,chordsontheline,@TheRealJordin I just heard your song Battlefield. I love it! Great job on the track. 
1,1694512560,No1PanicFan,@LovefromNaja Fresh change from hearing i write sins hey!!?? Not that theres anything wrong with that! 
1,1880362434,rote_kirsche,buying frequency tickets today....off to shopping city- back later 
0,1956307790,mlbarnes2009,@tonfue @ben_jarelbo No flirting! We are all friends here!!!!!! Can't we all jsut get along????  Sorry Steve! 
1,2187837610,walkalongwithme,The day wasn't as bad as I expected. Let's see what tomorrow brings. Have a good night all 
1,2176103407,alvinmsss,Great News we have moved from Lge2 to Lge1 on BBC site  http://npprs.tk
1,1555985432,mexicanwoman,@lizard6 thought of G while sweeping out the porch. thought of that room &amp; all the lovely times we had to help with the sandbags. 
1,2049440862,xhicasey,@bfrankahf oh brian what would I do without you? 
0,2214357319,moniquediniz,@wethedan stop making me jealous 
0,2226788737,rcowsert,Am slacking at work.  Need to get motivated to get something constructive done around the office.
1,1679913590,jamesh_1993,"@robday when you succeed, can you give me all the money you can =] also, hurl a few countries at me  i fancy taking over Russia and Iraq.."
0,2054617065,NicoleHud,Why does my son's coach always schedule a practice on Saturday? I'm supposed to be at the gym. 
0,2249356619,Poeticvisionary,only said that..because I can point click and drag.. back 15 years and read about myself ...  i dreamed allot back then too
1,1686075583,metacosm,Looks like the Caps - Pens series is going to be an interesting one. Wishing I could be in DC to see a game... Let's go CAPS!  #nhl
0,2251310066,s20000,working over time 
0,1835203281,nutter1980,Well epic fail on remembering to twitter! LOL best get on with it... Bored waiting for crap NHS pc to load 
1,2066286239,barkingsheltie,"@doggedpursuit dusty, great to hear - 'cuz a sheltie without bark is like the sky without the sun  "
0,2000421757,loftily,Actually teary from how much positive feedback happened today. Guys  Someone wishes I were their sister. All classes should end like this.
1,1986309377,mayapeep,"@jswo Congrats on the breakthrough w/your mom. My guess was that was u reaching out to her though, right? "
0,1966521434,GrandeurEvents,@Lady_Tif69 someone twittered it just now 
0,2327369796,TylerMachado,new Wilco b-side Unlikely Japan (recorded in 2003) makes me miss the old days. they were so much more interesting pre-06. 
0,2191674376,abrasivevanity,not feeling too good this morning.   mornting folks.
0,2296332826,LuvB,eczema is going to be the death of me 
0,2192003140,MrFatz,@OriginalShevy OOOOPS SORRY!! 
1,1792482033,Rixix,Off to take a bath.  
0,2053409056,marcofratelli,@ShaunStenning D'oh. Waiting on webvision to fix up the affiliate reporting problem too so we can get motivated 2 sell more YOTA! 
1,2052581633,omegatron,"Woohoo, just got my #air-stream membership confirmation email. I'm now at least 2% more nerdier than I was before! "
0,1880555165,scodal,19% battery ahhhh going to have to go inside soon 
1,2065445364,sarahlynsey88,@Jason_Manford you were brilliant on friday in carlisle!!!  loved every second of it!! and congrats to you and mrs m. x
1,1564754771,cnlwsu,@weak sweet! I hope our hours of work helped in some way 
1,2049519235,Kajitsu,Off to get a manicure!  Hung out with the lovely @spiderbee for a while.
1,1692604460,RandallSan,@djcrystalellis how's the bday!? 
1,1956822698,passionsista,@BuzzEdition that's ok  hugs
0,2250593674,Trev_Sheep,"gotta be proactive now- visit opticians at 9, then hunt for father's day prezzie with mum. Already had 2 busy days, what's one more? "
0,2328378861,skelekitty,"Work is so slow, I'm seriously considering quitting my job this week "
0,1969196038,at0mn3y,Binky: yeah TheEliteProgrammer: you still on the phone? Binky: yeah  TheEliteProgrammer: skype me
1,1986192617,erikaleigh8,just made this and is now going to figure out how it works haha 
1,1932996840,impluvium,@johnkung I would be very angry if I went through a speed camera at 11.2km/h and got a fine! 
1,1996576846,XoXo_disorder,@smiles_cheese yes we are weird...uu shuld know that by now 
0,2300448398,talitamarcondes,wrist hurt  argh!
0,2015220010,jamesgreeley,IS thinking hell yes my last exam today shame im gonna fail 
0,2199572160,Jennyjens,I'm cooking 
0,1564934493,fearfuldogs,"@imsiouxz those puppy millers will keep trainers in biz for a long time  best of luck, patience &amp; cheese with your boy"
0,1983751087,b5andjbluva,Hey @souljaboytellem awwwwww  bye soulja boy!!! love you!!!!!!  (souljaboytellem live &gt; http://ustre.am/2UhS)
0,2284736138,BiancaaParis,I Miss You. I really really Do . 
0,2009680006,melissatron,Waiting 
1,2045272981,lovveeduckies,Squirrel fishing 
1,1676892920,jonnyvelarde,In modesto playing a show 
1,1983119801,JaneSumner_,Had a wonderfully fantastic Friday night/Saturday morning thanks to @IanHandke.. Great rest of the weekend thus far. 
1,1957432827,bryancheung,@SLT23C Sometime throughout my life.  (via @bryancheung)
0,2183649435,AnnetteCapo,"Just when I think I know my city well enough, I get lost "
1,2188451611,AichaKouyate,"@MichyGeary ah, gotcha! That makes so much more sense than anything I was coming up with haha. Thanks for the clarification  #squarespace"
1,1770837297,freosan,"@khali_blache Squee! Don't worry, I'm sure I'll have to pass the trophy on soon enough. "
1,2181848775,jkozuch,@adamschoales No worries - check out: http://www.alistapart.com/articles/sprites2/ written by @daveshea. Excellent article. 
0,2014442025,linadani,confuse.. confuse.. confuse... and lost of words 
1,1989655082,SteppinOutTonit,so from now on use http://rnbdaily.wordpress.com if ur havin troulbe goin on That Joint... Cheers 
1,1573045092,nuiko,@dbldbl ahhahah... i don't even know if i used the word correctly LOL... my english language proficiency is not properly functioning 2day 
0,1985011928,Sassyexxohh,Can't go to twain with my secret booby! 
0,2218937787,socalrosa,Bio 101 for summer is balls to the wall hard! Help me 
0,1992598296,tomo_connor,http://twitpic.com/6en5z - 33.6C in the office now. 
0,1986080780,stevethekeeve,@irajellybean Senor pictures while you're sick? That's horrible. I would switch dates with you but I'm not gonna be in school tomorrow. 
0,2181371310,wall8,@DonnieWahlberg  Donnie EuropeÂ´s fans need a show.Only show!!!! Or only words of you!! We need New Kids on The Block in autumn  We miss u
0,2064005277,CarolinaSerena,Must learning now   for the french test next week!!!Nnnnoooo
1,1795752434,KaanErturk,"@WillemBasson Ohhh, that's even nicer... Thanks "
0,2251036635,DebsMadCat,@shamazipan Morning! You seem very cheery! Im off to work soon  U should...go streak in Silverburn!
1,1970803708,StefneLouisex,@sophielovemcfly goood  yeahh am mint tah xD ive tagged you in a note on fb  x
1,2057533324,AbbieFletcher_,@JeniPoynter_x  cool  did you meet your friends ? lol x
1,2000686359,StarGrl85,@percussionpanda I would send it to the guys when you get a good amount more and tell them to keep a look on it 
0,2176409321,rocker384,@Nfan12 Who doesent?! 
1,2057439070,claudiamcfly,Big Brothers on now 
0,2326672005,jamtots,Going to the dentist this am-I have 2 teeny cavities.  I don't even remember the last time I had cavities. Am NOT looking forward to it!
0,1834294322,JustTooBusy,Why - when I pose an uncomfortable question to businesses on Twitter do they just decide not to respond rather than engage? Very rude! 
1,1961193755,marclamonthill,@dumilewis so you're a historian now? you damn public intellectuals will talk about anything! 
0,1752592360,tweetgirl21,Alcohol has warn off..my foot is majorly effed up.. 
1,1677594800,Gracelisa,"@LindaHogan4Real Linda, I just read that tidbit! Hope you're doing alright girl! But like u said, atleast you're not in FL with the bugs! "
1,2000983682,KayPriceless,home at last!! my bed is lookin like it missed me 
1,2063961222,FUHRANK,Lol I love partying with my bitches. 
1,1983879469,omewan,@girlonetrack awwww *hugs* 
0,1997980729,spicyclubsauce,@Laurenn_Taylor ahh yay! that's so awesome thank you! i've never seen them live before 
0,2196688403,brandynMAMA,@KatBautista whatta bout brother? 
1,1823626288,Azza77,@Sheald I'm so up for Round 2 of my weekend of fun and debauchery. 
0,2237350802,mtequalsempty,I haven't been able to watch TV the past week  And now it's the weekend I still have lot to do.
1,1975520396,SavannahKayy,@forthemoment  anytime.
1,1970502423,maggie_ftw,just woke up? Still in bed.   hair cut soon! Party laterr.  text it upp son
1,2179850435,Pale_Jewel,@unklerupert yeah that's the one we were talking about. Thanks for posting that link. 
1,2051482386,tweeteradder1,@abi_tothemoon Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
0,2260756035,Adrianne_,Just got back from seeing Tippy. He ate which is a good sign. He still has to stay over night though   We will see him again tomorrow.
0,2323634598,lina_luka,good mornning. already at work and had breakfast. going to the gym again tonight. my muscles still ache. ouch. 
1,1679732292,bunki311,@dglive Awesome! 
0,2002403757,Lynette_Marie,I so need to get at least 4 miles in today.This Chicago doom and gloom weather is not motivating at all! 
0,1973319919,JusDoingMe,@UCYIMD1 I called u last nite... No answer 
1,1680742093,Eric_at_Vlerick,Ok. Now i'm listening to the soundtrack of Mamma Mia in a disused mine  and it's on repeat!
0,2251170769,Jstyle420,@Snakeshowrage 
1,2001838096,shiryen,@blwhan cool.. just lemme know when.. oh ... pls sms instead la.. i will arrange all this .. 
1,2052292048,zx10r07,@Zarabeth: &quot;And some NIN aren't bad...&quot; &lt;--- all nin is great silly  â« http://blip.fm/~7qb6f
0,2327963996,Cheekylips,Send happy thoughts to @twigsCharlie not to well at the moment 
0,2286948383,anthonynacc,@officialTila Sad you picked Torontonian girls over guys last night  Ha!
1,2068967501,DollfaceShayy,Drinking theraflu straight out the bottle.! 
1,1962961369,jeskamitch,@Crivera_112 CRAZY!?!?!  I have 3 kids! I think that is more than enough  I just got started early so thats why I'm done early.
1,1964503255,kmatthews,"@lbuchele Ha! no , I didn't hear it.  Thanks so much for the meeting. Went great! Just back in Eugene and having some @CafeYumm."
1,2064838820,emerrrald,"@willyr: wow naman...do you still want catering on Wednesday night?  Also, try this http://www.empireonline.com/crypticcanvas/"
1,1932969522,marakristina,EATING HAHA!! 
1,2057691968,SagakureVK,"@rowannihilation There is a VK kink meme, actually~!   http://tinyurl.com/moquuo And I'd be SO SO delighted if we can revive it. XD;;"
0,2006899213,titi_215,"@Poekasso damn, i didnt make the cut "
0,1825605109,ThisLittleBird,listening to my 2yo sing What What In The Butt... NOT GOOD! Guess I should pay more attention to what I say 
1,2192935137,smitsam,@bassoonplaya08 thanks for teaching me to tweet! happy studying 
1,1996539443,tiffcarpenter,@spiralsofgrace The point is that you did it. That's what counts! Keep up the good work 
0,2043957801,dontsassme,last day of vacation 
1,1985282567,papi3336,@whoners so wha'd da ya say about some good family musichttp://bit.ly/10E8Vp  
1,1880333508,Chinkyeyesz, Still smile @ the bullshit ...I love it keep it coming
1,1972146541,Robstarr,@3prettyprincess which one are you 
0,2259606391,stilvoid,Got back from rehearsal and fell asleep til half ten  Evening destroyed. Watched Disney's Robin Hood and Blackadder with a bottle of wine.
1,1957519216,nataliepetit,studying chemistry..  &quot;LOVING  it&quot;
1,1998066186,_jeremybaril,@sueupton im watching too. and wearing my DMB shirt 
1,2002245274,pulseproject,@RichardWiseman Thank you. Just in the right time to take on holiday. should i put a picture of it on a vision board and stare at it 
0,1883251136,podblack,@JHVanOphem - oh sod. *hugs hugs hugs*  And *hugs hugs hugs* to @OzAtheist of the sad songs who makes me feel useful. 
1,2189797316,lucyb946,Going to get twitter app 
0,2261462350,robincareyyo,@tPREME noooo  In a hotel on the way
1,1573233909,ajstillings,"@nicolerichie Oh, now I know. Read it on your website. "
1,1973137765,Heddyy,@singswell Thanks buddy 
0,2297094781,juliaclairep,if only the shake shack line weren't two blocks long 
0,1694743072,stacycat,"I haz a wet spot on my bed. But not a warm yummy one, this one is cold  stupid leaking water."
1,2052271491,dinibeanie,took full advantage of vip free drink bracelets last night.can't wait for JUSLISEN tonight! groovin to old styles hiphop/rnb.bringgg ittt 
0,1997635999,absinthedisco,&quot;The chances of finding survivors are tiny.&quot; - Sarko  228 feared dead http://www.nytimes.com/2009/06/02/world/europe/02plane.html RIP
1,2065120693,FranQuintanilla,@miaakoch good luck in the concert 
0,2251851229,ayarushi,is stressed out... Waiting to see how many deaths we will burry today 
1,2062337876,StregaLilly,"My mom won me a box of scented candles at a bridal shower, how nice "
0,2069855370,AMShowen,@RyanOConnor Totally feeling your pain right now. [TOS] deserved best book.  #tonys
1,1975998992,princessv1983,Please follow @princesssuperc ! Ciara need followers 
1,2058844177,Soraaaa,"@_Vexen That's good, not the pain part, but that's good anyways.  I'm alright too..."
1,2061773169,apeck11,@JonAsher am I worthy of one? 
1,1694239462,minitrucker,"Lookin for work via online, watchin ShayCarl's latest vlog entry on youtube and textin a lady friend.  My beds calling my name though..  "
0,1955863677,Liverpool_TX,@SweetOne76 That's not fair.  
1,2001373339,roukedejong,"At work again, such a shame with this weather... "
1,1998593577,mollymcxc,There is a Beatles rock band coming out!?!?! 
1,1825139026,endlessblush,@katzchen24 well fancy seeing you in a place like this?  You have joined the darkside I see 
0,2067293556,Criela,"Watching rosalinda in youtube, this breaks my heart even if I barely understand it. Poor guy.  http://bit.ly/AQFDa"
1,1685808786,xoCAZZA,@Caraandclo a BACON sandwhich! LMAO!  + yes i am VERY werid 
0,1970455265,capellagoddess,Sitting in the airport waiting for are next flight still have anothe hour this freakin sucks !!!!!! I just want a be to sleep 
1,2000617553,enigmacs,PWoW is now WotLK. 
0,1573865593,holliebox,still isn't sure how she can love you after this. 
0,2065323645,bdwellman,@mark_s_taylor Indeed! (I know I'm a week late answering you; I neglected my @ list this past week...  )
0,2263581561,mgdanni,Going to sleep with tears on my cheeks :'(... see you tomorrow.. 
1,1962068927,VFCzGirlLykThat,@drewryanscott you are truly an amazing guy! your blog made me cryy &amp; your songs are just so meaningfull  ! thanks for all that you do &lt;3
0,2238166314,jessiebarber,@guccigabby Aww! We were wondering where you went 
0,2229843743,cassidystarship,"@reply me please. i want to feel loved!  seriously, with anything, i beg of you kind sir."
